facility;county;confirmed;presumed
REBEKAH REHAB AND EXTENDED CARE CENTER;Bronx;1;19
REGEIS CARE CENTER;Bronx;3;5
RIVERDALE NURSING HOME;Bronx;1;2
SCHERVIER NURSING CARE CENTER;Bronx;4;36
SPLIT ROCK REHABILITATION AND HEALTH CARE CENTER;Bronx;4;8
ST PATRICKS HOME;Bronx;21;14
ST VINCENT DEPAUL RESIDENCE;Bronx;20;0
THE CITADEL REHAB AND NURSING CENTER AT KINGSBRIDGE;Bronx;3;48
THE PLAZA REHAB AND NURSING CENTER;Bronx;9;49
THROGS NECK REHABILITATION & NURSING CENTER;Bronx;1;34
TRIBORO CENTER FOR REHABILITATION AND NURSING;Bronx;2;12
UNIVERSITY CENTER FOR REHABILITATION AND NURSING;Bronx;1;2
WILLIAMSBRIDGE CENTER FOR REHABILITATION AND NURSING;Bronx;0;1
WORKMEN'S CIRCLE MULTICARE CENTER;Bronx;6;7
SUSQUEHANNA NURSING & REHABILITATION CENTER, LLC;Broome;6;1
VESTAL PARK REHABILITATION AND NURSING CENTER;Broome;4;2
NYS VETERANS HOME;Chenango;2;0
PINE HAVEN HOME;Columbia;6;4
FERNCLIFF NURSING HOME CO INC;Dutchess;9;1
FISHKILL CENTER FOR REHABILITATION AND NURSING;Dutchess;1;0
NORTHERN DUTCHESS RES HEALTH CARE FACILITY, INC;Dutchess;1;0
THE GRAND REHABILITATION AND NURSING AT PAWLING;Dutchess;3;8
WINGATE AT BEACON;Dutchess;6;0
ABSOLUT CENTER FOR NURSING AND REHABILITATION AT;Erie;9;0
BEECHWOOD HOMES;Erie;4;0
BUFFALO CENTER FOR REHABILITATION AND NURSING;Erie;11;0
BUFFALO COMMUNITY HEALTHCARE CENTER;Erie;2;0
ELDERWOOD AT AMHERST;Erie;3;0
ELDERWOOD AT LANCASTER;Erie;1;0
ELLICOTT CENTER FOR REHABILITATION AND NURSING;Erie;2;0
FATHER BAKER MANOR;Erie;31;0
FIDDLERS GREEN MANOR REHABILITATION AND NURSING;Erie;6;0
FOX RUN AT ORCHARD PARK;Erie;1;0
GARDEN GATE HEALTH CARE FACILITY;Erie;17;0
HARRIS HILL NURSING FACILITY, LLC;Erie;18;2
HUMBOLDT HOUSE REHABILITATION AND NURSING CENTER;Erie;4;0
ROSA COPLON JEWISH HOME AND INFIRMARY;Erie;8;0
Williamsville Suburban Safire Nursing and Rehabilitation Center, LLC;Erie;0;5
SENECA HEALTH CARE CENTER;Erie;12;0
ST CATHERINE LABOURE HEALTH CARE CENTER;Erie;2;0
FULTON CENTER FOR REHABILITATION AND HEALTHCARE;Fulton;2;0
THE PINES AT CATSKILL CENTER FOR NURSING &;Greene;2;1
ATRIUM CENTER FOR REHABILITATION AND NURSING;Kings;2;8
BEDFORD CENTER FOR NURSING AND REHABILITATION;Kings;7;6
BENSONHURST CENTER FOR REHABILITATION AND HEALTHCARE;Kings;5;27
BORO PARK CENTER FOR REHABILITATION AND HEALTHCARE;Kings;8;21
BROOKLYN CENTER FOR REHABILITATION AND RESIDENTIAL;Kings;4;11
BROOKLYN GARDENS NURSING & REHABILITATION CENTER;Kings;1;7
BROOKLYN UNITED METHODIST CHURCH HOME;Kings;1;10
BROOKLYN-QUEENS NURSING HOME;Kings;3;5
BUENA VIDA CONTINUING CARE & REHAB CENTER;Kings;0;4
BUSHWICK CENTER FOR REHABILITATION AND HEALTH CARE;Kings;5;3
CATON PARK REHABILITATION AND NURSING CENTER, LLC;Kings;2;2
COBBLE HILL HEALTH CENTER, INC;Kings;4;50
CONCORD NURSING AND REHABILITATION CENTER;Kings;3;0
CROWN HEIGHTS CENTER FOR NURSING AND REHABILITATION;Kings;0;6
DITMAS PARK CARE CENTER;Kings;1;9
DOWNTOWN BROOKLYN NURSING & REHABILITATION CENTER;Kings;8;5
DR SUSAN SMITH MCKINNEY NURSING AND REHABILITATION;Kings;4;18
FOUR SEASONS NURSING AND REHABILITATION CENTER;Kings;0;1
HAMILTON PARK NURSING AND REHABILITATION CENTER;Kings;0;12
HAYM SOLOMON HOME FOR THE AGED;Kings;3;43
HOPKINS CENTER FOR REHABILITATION AND HEALTHCARE;Kings;2;15
KING DAVID CENTER FOR NURSING AND REHABILITATION;Kings;2;2
LINDEN CENTER FOR NURSING AND REHABILITATION;Kings;4;19
MENORAH HOME & HOSPITAL FOR AGED & INFIRM;Kings;5;45
NEW CARLTON REHAB AND NURSING CENTER, LLC;Kings;1;0
NORWEGIAN CHRISTIAN HOME AND HEALTH CENTER;Kings;1;5
NY CONGREGATIONAL NURSING CENTER, INC;Kings;4;32
OXFORD NURSING HOME;Kings;5;5
PALM GARDENS CENTER FOR NURSING AND REHABILITATION;Kings;2;0
RUTLAND NURSING HOME, INC.;Kings;13;33
SAINTS JOACHIM & ANNE NURSING AND REHABILITATION CENTER;Kings;0;27
SCHULMAN AND SCHACHNE INSTITUTE FOR NURSING AND;Kings;5;18
SEA CREST NURSING AND REHABILITATION CENTER;Kings;6;7
SEAGATE REHABILITATION AND NURSING CENTER;Kings;2;22
SHEEPSHEAD NURSING & REHABILITATION CENTER;Kings;4;4
SHORE VIEW NURSING & REHABILITATION CENTER;Kings;22;2
SPRING CREEK REHABILITATION & NURSING CARE CENTER;Kings;2;11
THE CHATEAU AT BROOKLYN REHABILITATION AND NURSING;Kings;1;4
THE HERITAGE REHABILITATION AND HEALTH CARE CENTER;Kings;0;1
THE PHOENIX REHABILITATION AND NURSING CENTER;Kings;20;37
AVON NURSING HOME, LLC;Livingston;1;0
AARON MANOR REHABILITATION AND NURSING CENTER;Monroe;1;0
BRIGHTON MANOR;Monroe;0;1
CREEKVIEW NURSING AND REHAB CENTER;Monroe;2;0
EDNA TINA WILSON LIVING CENTER;Monroe;4;0
KIRKHAVEN;Monroe;13;4
ST ANNS COMMUNITY;Monroe;1;0
ST JOHNS HEALTH CARE CORPORATION;Monroe;16;0
THE BRIGHTONIAN, INC;Monroe;3;0
THE FRIENDLY HOME;Monroe;2;0
THE HURLBUT;Monroe;7;5
THE SHORE WINDS, LLC;Monroe;1;0
UNITY LIVING CENTER;Monroe;1;0
ST JOHNSVILLE REHABILITATION AND NURSING CENTER;Montgomery;0;1
A HOLLY PATTERSON EXTENDED CARE FACILITY;Nassau;8;3
BEACH TERRACE CARE CENTER;Nassau;2;0
BELAIR CARE CENTER INC;Nassau;5;0
CENTRAL ISLAND HEALTHCARE;Nassau;2;20
COLD SPRING HILLS CENTER FOR NURSING AND REHABILITATION;Nassau;6;11
DALEVIEW CARE CENTER;Nassau;0;3
EMERGE NURSING AND REHABILITATION AT GLEN COVE;Nassau;7;1
EXCEL AT WOODBURY FOR REHABILITATION AND NURSING, LLC;Nassau;21;5
FULTON COMMONS CARE CENTER INC;Nassau;4;35
GARDEN CARE CENTER;Nassau;14;0
GLEN COVE CENTER FOR NURSING AND REHABILITATION;Nassau;8;1
GLENGARIFF REHABILITATION AND HEALTHCARE CENTER;Nassau;1;19
GRANDELL REHABILITATION AND NURSING CENTER;Nassau;3;4
HEMPSTEAD PARK NURSING HOME;Nassau;2;10
HIGHFIELD GARDENS CARE CENTER OF GREAT NECK;Nassau;21;0
LONG BEACH NURSING AND REHABILITATION CENTER;Nassau;10;1
LYNBROOK RESTORATIVE THERAPY AND NURSING;Nassau;8;0
MAYFAIR CARE CENTER;Nassau;1;2
MEADOWBROOK CARE CENTER, INC;Nassau;14;16
NASSAU REHABILITATION & NURSING CENTER;Nassau;0;32
NORTH SHORE-LIJ ORZAC CENTER FOR REHABILITATION;Nassau;1;0
NORTHWELL HEALTH STERN FAMILY CENTER FOR;Nassau;1;0
OCEANSIDE CARE CENTER INC;Nassau;7;0
PARK AVENUE EXTENDED CARE FACILITY;Nassau;3;10
PARKVIEW CARE AND REHABILITATION CENTER, INC.;Nassau;1;11
ROCKVILLE SKILLED NURSING & REHABILITATION CENTER, LLC;Nassau;0;1
SANDS POINT CENTER FOR HEALTH AND REHABILITATION;Nassau;10;1
SOUTH SHORE REHABILITATION AND NURSING CENTER;Nassau;3;3
SUNHARBOR MANOR;Nassau;22;10
THE AMSTERDAM AT HARBORSIDE;Nassau;2;0
THE FIVE TOWNS PREMIER REHABILITATION & NURSING CENTER;Nassau;4;2
THE GRAND PAVILION FOR REHAB & NURSING AT ROCKVILLE;Nassau;1;13
THE GRAND REHABILITATION AND NURSING AT GREAT NECK;Nassau;15;8
THE GRAND REHABILITATION AND NURSING AT SOUTH POINT;Nassau;1;0
TOWNHOUSE CENTER FOR REHABILITATION & NURSING;Nassau;7;8
WHITE OAKS REHABILITATION AND NURSING CENTER;Nassau;29;0
AMSTERDAM NURSING HOME CORP (1992);New York;9;45
COLER REHABILITATION AND NURSING CARE CENTER;New York;10;1
FORT TRYON CENTER FOR REHABILITATION AND NURSING;New York;13;4
HARLEM CENTER FOR NURSING AND REHABILITATION;New York;2;3
ISABELLA GERIATRIC CENTER INC;New York;22;44
MARY MANNING WALSH NURSING HOME CO INC;New York;33;4
NEW EAST SIDE NURSING HOME;New York;1;1
NEW GOUVERNEUR HOSPITAL SNF;New York;16;3
NORTHERN MANHATTAN REHABILITATION AND NURSING CENTER;New York;11;12
TERENCE CARDINAL COOKE HEALTH CARE CENTER;New York;24;8
THE NEW JEWISH HOME, MANHATTAN;New York;41;6
THE RIVERSIDE;New York;40;17
UPPER EAST SIDE REHABILITATION AND NURSING CENTER;New York;5;3
VILLAGECARE REHABILITATION AND NURSING CENTER;New York;1;0
ELDERWOOD AT LOCKPORT;Niagara;1;0
NEWFANE REHAB & HEALTH CARE CENTER;Niagara;8;6
NIAGARA REHABILITATION AND NURSING CENTER;Niagara;4;0
OUR LADY OF PEACE NURSING CARE RESIDENCE;Niagara;3;0
SCHOELLKOPF HEALTH CENTER;Niagara;1;0
COLONIAL PARK REHABILITATION AND NURSING CENTER;Oneida;0;1
PRESBYTERIAN HOME FOR CENTRAL NEW YORK INC;Oneida;1;0
THE GRAND REHABILITATION AND NURSING AT ROME;Oneida;8;7
BISHOP REHABILITATION AND NURSING CENTER;Onondaga;2;0
CENTRAL PARK REHABILITATION AND NURSING CENTER;Onondaga;4;4
LORETTO HEALTH AND REHABILITATION CENTER;Onondaga;1;0
THE COTTAGES AT GARDEN GROVE, A SKILLED NURSING;Onondaga;1;0
VAN DUYN CENTER FOR REHABILITATION AND NURSING;Onondaga;6;1
ONTARIO CENTER FOR REHABILITATION AND HEALTHCARE;Ontario;4;0
CAMPBELL HALL REHABILITATION CENTER INC;Orange;4;1
GLEN ARDEN INC;Orange;1;1
HIGHLAND REHABILITATION AND NURSING CENTER;Orange;8;3
MIDDLETOWN PARK REHABILITATION & HEALTH CARE CENTER;Orange;3;0
MONTGOMERY NURSING AND REHABILITATION CENTER;Orange;7;14
SAPPHIRE NURSING AND REHAB AT GOSHEN;Orange;4;2
SCHERVIER PAVILION;Orange;18;1
ST. JOSEPHS PLACE;Orange;4;3
THE VALLEY VIEW CENTER FOR NURSING CARE AND;Orange;30;0
THE VILLAGES OF ORLEANS HEALTH AND REHABILITATION;Orleans;12;0
PUTNAM NURSING & REHABILITATION CENTER;Putnam;13;0
PUTNAM RIDGE;Putnam;3;0
BEACH GARDENS REHAB AND NURSING CENTER;Queens;3;4
BEACON REHABILITATION AND NURSING CENTER;Queens;4;7
BEZALEL REHABILITATION AND NURSING CENTER;Queens;8;1
BRIDGE VIEW NURSING HOME;Queens;9;12
BROOKHAVEN REHABILITATION & HEALTH CARE CENTER LLC;Queens;0;6
CARING FAMILY NURSING AND REHABILITATION CENTER;Queens;4;13
CHAPIN HOME FOR THE AGING;Queens;1;2
CLIFFSIDE REHABILITATION & RESIDENTIAL HEALTH CARE;Queens;16;0
CYPRESS GARDEN CENTER FOR NURSING AND REHABILITATION;Queens;3;4
DRY HARBOR NURSING HOME;Queens;12;20
ELMHURST CARE CENTER, INC;Queens;10;14
FAIRVIEW NURSING CARE CENTER INC;Queens;4;5
FAR ROCKAWAY CENTER FOR REHABILITATION AND NURSING;Queens;2;0
FOREST HILLS CARE CENTER;Queens;6;5
FOREST VIEW CENTER FOR REHABILITATION & NURSING;Queens;4;1
FRANKLIN CENTER FOR REHABILITATION AND NURSING;Queens;6;53
HAVEN MANOR HEALTH CARE CENTER,LLC;Queens;4;5
HIGHLAND CARE CENTER;Queens;4;24
HILLSIDE MANOR REHAB & EXTENDED CARE CENTER;Queens;19;11
HOLLIS PARK MANOR NURSING HOME;Queens;1;7
HOLLISWOOD CENTER FOR REHABILITATION AND HEALTHCARE;Queens;17;39
HORIZON CARE CENTER;Queens;2;6
JAMAICA HOSPITAL NURSING HOME CO INC;Queens;3;0
LAWRENCE NURSING CARE CENTER, INC;Queens;2;1
LONG ISLAND CARE CENTER INC;Queens;15;5
MARGARET TIETZ NURSING AND REHABILITATION CENTER;Queens;10;1
MIDWAY NURSING HOME;Queens;2;17
NEW GLEN OAKS NURSING HOME, INC;Queens;4;6
NEW YORK CENTER FOR REHABILITATION & NURSING;Queens;1;26
NYS VETERANS HOME IN NYC;Queens;10;24
OCEANVIEW NURSING & REHABILITATION CENTER, LLC;Queens;2;3
OZANAM HALL OF QUEENS NURSING HOME INC;Queens;24;30
PARK NURSING HOME;Queens;1;0
PARK TERRACE CARE CENTER;Queens;0;3
PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB;Queens;73;0
PENINSULA NURSING AND REHABILITATION CENTER;Queens;3;1
PROMENADE REHABILITATION AND HEALTH CARE CENTER;Queens;2;12
QUEENS BOULEVARD EXTENDED CARE FACILITY;Queens;2;3
QUEENS NASSAU REHABILITATION AND NURSING CENTER;Queens;2;4
REGAL HEIGHTS REHABILITATION AND HEALTH CARE CENTER;Queens;5;5
REGO PARK NURSING HOME;Queens;18;1
RESORT NURSING HOME;Queens;3;2
ROCKAWAY CARE CENTER;Queens;2;1
SAPPHIRE CENTER FOR REHABILITATION AND NURSING OF;Queens;1;50
SILVERCREST;Queens;7;0
THE GRAND REHABILITATION AND NURSING AT QUEENS;Queens;2;0
THE PAVILION AT QUEENS FOR REHABILITATION & NURSING;Queens;3;11
UNION PLAZA CARE CENTER;Queens;17;31
WATERVIEW NURSING CARE CENTER;Queens;2;5
WEST LAWRENCE CARE CENTER, LLC;Queens;8;2
WINDSOR PARK NURSING HOME;Queens;9;0
WOODCREST REHABILITATION & RESIDENTIAL HEALTH CARE;Queens;4;0
DIAMOND HILL NURSING AND REHABILITATION CENTER;Rensselaer;4;0
EDDY MEMORIAL GERIATRIC CENTER;Rensselaer;1;0
CARMEL RICHMOND HEALTHCARE AND REHABILITATION CENTER;Richmond;53;2
CLOVE LAKES HEALTH CARE AND REHABILITATION CENTER, INC;Richmond;9;23
EGER HEALTH CARE AND REHABILITATION CENTER;Richmond;0;30
GOLDEN GATE REHABILITATION & HEALTH CARE CENTER;Richmond;9;4
NEW VANDERBILT REHABILITATION AND CARE CENTER, INC;Richmond;2;23
RICHMOND CENTER FOR REHABILITATION AND SPECIALTY;Richmond;0;10
SEA VIEW HOSPITAL, REHABILITATION CENTER AND HOME;Richmond;4;19
SILVER LAKE SPECIALIZED REHABILITATION AND CARE CENTER;Richmond;0;25
STATEN ISLAND CARE CENTER;Richmond;2;10
VERRAZANO NURSING HOME;Richmond;6;13
FRIEDWALD CENTER FOR REHABILITATION AND NURSING, LLC;Rockland;5;3
NORTHERN MANOR GERIATRIC CENTER INC;Rockland;4;6
NORTHERN METROPOLITAN RESIDENTIAL HEALTH CARE FACILITY;Rockland;1;0
NORTHERN RIVERVIEW HEALTH CARE CENTER, INC;Rockland;2;8
NYACK RIDGE REHABILITATION AND NURSING CENTER;Rockland;0;8
PINE VALLEY CENTER FOR REHABILITATION AND NURSING;Rockland;3;8
THE WILLOWS AT RAMAPO REHABILITATION AND NURSING;Rockland;5;19
TOLSTOY FOUNDATION REHABILITATION AND NURSING CENTER;Rockland;7;3
ELDERWOOD AT HORNELL;Steuben;2;0
HORNELL GARDENS, LLC;Steuben;1;0
IRA DAVENPORT MEMORIAL HOSPITAL SNF/HRF;Steuben;6;1
ACADIA CENTER FOR NURSING AND REHABILITATION;Suffolk;3;0
AFFINITY SKILLED LIVING AND REHABILITATION CENTER;Suffolk;1;6
APEX REHABILITATION & CARE CENTER;Suffolk;31;2
BELLHAVEN CENTER FOR REHABILITATION AND NURSING CARE;Suffolk;1;0
BERKSHIRE NURSING & REHABILITATION CENTER;Suffolk;1;0
BROOKHAVEN HEALTH CARE FACILITY, LLC;Suffolk;4;0
BROOKSIDE MULTICARE NURSING CENTER;Suffolk;4;4
CARILLON NURSING AND REHABILITATION CENTER;Suffolk;22;16
EAST NECK NURSING & REHABILITATION CENTER;Suffolk;10;8
GOOD SAMARITAN NURSING AND REHABILITATION CARE CENTER;Suffolk;20;0
GURWIN JEWISH NURSING AND REHABILITATION CENTER;Suffolk;17;17
HILAIRE REHAB & NURSING;Suffolk;4;2
HUNTINGTON HILLS CENTER FOR HEALTH AND REHABILITATION;Suffolk;7;20
ISLAND NURSING AND REHAB CENTER;Suffolk;5;6
JEFFERSON'S FERRY;Suffolk;9;0
LONG ISLAND STATE VETERANS HOME;Suffolk;50;6
LUXOR NURSING AND REHABILITATION AT MILLS POND;Suffolk;4;20
LUXOR NURSING AND REHABILITATION AT SAYVILLE;Suffolk;5;15
MARIA REGINA RESIDENCE INC;Suffolk;21;10
MASSAPEQUA CENTER REHABILITATION & NURSING;Suffolk;4;21
MEDFORD MULTICARE CENTER FOR LIVING;Suffolk;5;6
MOMENTUM AT SOUTH BAY FOR REHABILITATION AND NURSING;Suffolk;18;0
OASIS REHABILITATION AND NURSING, LLC;Suffolk;5;0
OUR LADY OF CONSOLATION NURSING AND REHABILITATIVE;Suffolk;39;1
PECONIC BAY SKILLED NURSING FACILITY;Suffolk;14;0
PECONIC LANDING AT SOUTHOLD;Suffolk;6;3
QUANTUM REHABILITATION AND NURSING LLC;Suffolk;5;0
ROSS CENTER FOR NURSING AND REHABILITATION;Suffolk;3;3
SMITHTOWN CENTER FOR REHABILITATION & NURSING CARE;Suffolk;17;3
ST CATHERINE OF SIENA NURSING AND REHABILITATION CARE;Suffolk;3;0
ST JOHNLAND NURSING CENTER, INC;Suffolk;21;21
ST. JAMES REHABILITATION & HEALTHCARE CENTER;Suffolk;15;0
SUFFOLK CENTER FOR REHABILITATION AND NURSING;Suffolk;1;1
SUNRISE MANOR CENTER FOR NURSING AND REHABILITATION;Suffolk;2;3
SURGE REHABILITATION AND NURSING LLC;Suffolk;8;4
THE HAMLET REHABILITATION AND HEALTHCARE CENTER AT;Suffolk;5;8
THE HAMPTONS CENTER FOR REHABILITATION AND NURSING;Suffolk;5;14
WATERS EDGE REHAB & NURSING CENTER AT PORT JEFFERSON;Suffolk;1;0
WESTHAMPTON CARE CENTER;Suffolk;11;0
ACHIEVE REHAB AND NURSING FACILITY;Sullivan;1;0
CATSKILL REGIONAL MEDICAL CENTER;Sullivan;3;0
SULLIVAN COUNTY ADULT CARE CENTER;Sullivan;4;0
ELDERWOOD AT WAVERLY;Tioga;12;0
TEN BROECK CENTER FOR REHABILITATION & NURSING;Ulster;15;0
WINGATE OF ULSTER;Ulster;5;0
GLENS FALLS CENTER FOR REHABILITATION AND NURSING;Warren;8;4
THE PINES AT GLENS FALLS CENTER FOR NURSING &;Warren;3;1
FORT HUDSON NURSING CENTER, INC.;Washington;8;0
SODUS REHABILITATION & NURSING CENTER;Wayne;1;0
ANDRUS ON HUDSON;Westchester;7;7
BAYBERRY NURSING HOME;Westchester;2;0
BETHEL NURSING & REHABILITATION CENTER;Westchester;3;7
CEDAR MANOR NURSING & REHABILITATION CENTER;Westchester;2;9
CORTLANDT HEALTHCARE;Westchester;8;0
GLEN ISLAND CENTER FOR NURSING AND REHABILITATION;Westchester;2;0
MARTINE CENTER FOR REHABILITATION AND NURSING;Westchester;5;19
NEW YORK STATE VETERANS HOME AT MONTROSE;Westchester;6;18
NORTH WESTCHESTER RESTORATIVE THERAPY AND NURSING;Westchester;6;4
REGENCY EXTENDED CARE CENTER;Westchester;6;32
SALEM HILLS REHABILITATION AND NURSING CENTER;Westchester;5;3
SANS SOUCI REHABILITATION AND NURSING CENTER;Westchester;1;9
SCHAFFER EXTENDED CARE CENTER;Westchester;3;0
SKY VIEW REHABILITATION AND HEALTH CARE CENTER, LLC;Westchester;8;0
SPRAIN BROOK MANOR REHAB;Westchester;4;5
ST CABRINI NURSING HOME;Westchester;10;8
SUTTON PARK CENTER FOR NURSING AND REHABILITATION;Westchester;6;7
THE EMERALD PEEK REHABILITATION AND NURSING CENTER;Westchester;0;2
THE ENCLAVE AT RYE REHABILITATION AND NURSING CENTER;Westchester;1;16
THE GROVE AT VALHALLA REHABILITATION AND NURSING;Westchester;1;3
THE KNOLLS;Westchester;0;1
THE NEW JEWISH HOME, SARAH NEUMAN;Westchester;39;0
THE OSBORN;Westchester;3;5
THE PARAMOUNT AT SOMERS REHABILITATION AND NURSING;Westchester;3;20
THE WARTBURG HOME;Westchester;21;13
UNITED HEBREW GERIATRIC CENTER;Westchester;4;6
VICTORIA HOME;Westchester;2;3
WATERVIEW HILLS REHABILITATION AND NURSING CENTER;Westchester;1;1
WESTCHESTER CENTER FOR REHABILITATION & NURSING;Westchester;5;0
WHITE PLAINS CENTER FOR NURSING CARE;Westchester;5;0
YONKERS GARDENS CENTER FOR NURSING AND;Westchester;6;12
YORKTOWN REHABILITATION & NURSING CENTER;Westchester;4;5
WYOMING COUNTY COMMUNITY HOSPITAL SNF;Wyoming;2;0
SOLDIERS AND SAILORS MEMORIAL HOSPITAL EXTENDED CARE;Yates;2;0
