facility,confirmed,presumed,total,name,formatted_address,county,lat,lng,place_id,results
WORKMEN'S CIRCLE MULTICARE CENTER,6,7,67,Workmen's Circle MultiCare Center,"3155 Grace Ave, The Bronx, NY 10469, United States",Bronx,40.87425289999999,-73.83731949999999,ChIJy9KVOMqMwokREkHmnl-NFTo,1
"SUSQUEHANNA NURSING & REHABILITATION CENTER, LLC",6,1,61,Susquehanna Nursing & Rehabilitation Center,"282 Riverside Dr, Johnson City, NY 13790, United States",Broome,42.0999743,-75.9591609,ChIJWc7ot-ju2okRvMtbdP9bNmw,1
VESTAL PARK REHABILITATION AND NURSING CENTER,4,2,42,Vestal Park Rehabilitation and Nursing Center,"105 W Sheedy Rd, Vestal, NY 13850, United States",Broome,42.0532114,-76.0329246,ChIJn-U4eX3s2okRBXLnDnqcqLI,1
NYS VETERANS HOME,2,0,20,"New York State Veterans' Home, St. Albans","17850 Linden Blvd, Jamaica, NY 11434, United States",Chenango,40.6885109,-73.7694956,ChIJF5hLQUphwokRKs8b9qz1qfo,1
PINE HAVEN HOME,6,4,64,Pine Haven Nursing and Rehabilitation Center,"201 Main St, Philmont, NY 12565, United States",Columbia,42.252826,-73.63949,ChIJzdRk2JGN3YkRMq9n2fJW84c,1
FERNCLIFF NURSING HOME CO INC,9,1,91,ArchCare at Ferncliff Nursing Home and Rehabilitation Center,"21 Ferncliff Dr, Rhinebeck, NY 12572, United States",Dutchess,41.9433289,-73.9351555,ChIJM4KKtx8M3YkRSD-J-ccK-RY,1
FISHKILL CENTER FOR REHABILITATION AND NURSING,1,0,10,Fishkill Center for Rehabilitation and Nursing,"22 Robert R Kasin Way, Beacon, NY 12508, United States",Dutchess,41.5210681,-73.97228,ChIJa2SpflQx3YkRs0Ba8wW-Xf8,1
"NORTHERN DUTCHESS RES HEALTH CARE FACILITY, INC",1,0,10,"Thompson House, a division of Northern Dutchess Residential Health Care, part of Nuvance Health","6511 Spring Brook Ave, Rhinebeck, NY 12572, United States",Dutchess,41.9356251,-73.9127226,ChIJ48zl6z8M3YkR354YR64DkjY,1
THE GRAND REHABILITATION AND NURSING AT PAWLING,3,8,38,The Grand Rehabilitation and Nursing at Pawling,"9 Reservoir Rd, Pawling, NY 12564, United States",Dutchess,41.5759586,-73.59141989999999,ChIJl6cagLtb3YkRRGeFZ9L76V4,1
WINGATE AT BEACON,6,0,60,Wingate at Beacon,"10 Hastings Dr, Beacon, NY 12508, United States",Dutchess,41.5097427,-73.9556198,ChIJXzvBYUIx3YkRD7CWbjBvhYw,1
ABSOLUT CENTER FOR NURSING AND REHABILITATION AT,9,0,90,Absolut Care of Endicott,"301 Nantucket Dr, Endicott, NY 13760, United States",Erie,42.1138029,-76.0576993,ChIJpa29R-ns2okRg4oguG407iI,1
BEECHWOOD HOMES,4,0,40,Beechwood Homes,"200 Robbins Ln D1, Jericho, NY 11753, United States",Erie,40.79481579999999,-73.5176659,ChIJPS9ENHeBwokRcMAIYyH4yrY,1
BUFFALO CENTER FOR REHABILITATION AND NURSING,11,0,110,Buffalo Center for Rehabilitation and Nursing,"1014 Delaware Ave, Buffalo, NY 14209, United States",Erie,42.9116687,-78.8714505,ChIJZ9UGJfAS04kRZQdd9NQsPXk,1
BUFFALO COMMUNITY HEALTHCARE CENTER,2,0,20,Buffalo Community Healthcare Center,"1205 Delaware Ave, Buffalo, NY 14209, United States",Erie,42.9169007,-78.8685538,ChIJ1SsHPekS04kRjoplVHBEIwQ,1
ELDERWOOD AT AMHERST,3,0,30,Elderwood at Amherst,"4459 Bailey Ave, Amherst, NY 14226, United States",Erie,42.9764997,-78.8133454,ChIJF9xaUV5y04kRf5dfl81uf20,1
ELDERWOOD AT LANCASTER,1,0,10,Elderwood at Lancaster,"1818 Como Park Blvd, Lancaster, NY 14086, United States",Erie,42.8939896,-78.6845024,ChIJJVOGHvIK04kRCAor21mO94s,1
ELLICOTT CENTER FOR REHABILITATION AND NURSING,2,0,20,Ellicott Center for Rehabilitation and Nursing,"200 7th St, Buffalo, NY 14201, United States",Erie,42.8914531,-78.8851195,ChIJtQ5QIbMT04kR9KVG9ymkvvM,1
FATHER BAKER MANOR,31,0,310,Father Baker Manor,"6400 Powers Rd, Orchard Park, NY 14127, United States",Erie,42.7343339,-78.7526285,ChIJFz9OoSsE04kR-2kkj4jQoUA,1
FIDDLERS GREEN MANOR REHABILITATION AND NURSING,6,0,60,Fiddler's Green Manor Home,"168 W Main St, Springville, NY 14141, United States",Erie,42.5084269,-78.6736264,ChIJpwK2iZH40okRkSjoxRZc9FU,1
FOX RUN AT ORCHARD PARK,1,0,10,Fox Run at Orchard Park,"One Fox Run Ln, Orchard Park, NY 14127, United States",Erie,42.7630597,-78.7738628,ChIJKR3WfpMF04kRwbivV1kbeR4,1
GARDEN GATE HEALTH CARE FACILITY,17,0,170,Garden Gate Health Care Facility,"2365 Union Rd, Cheektowaga, NY 14227, United States",Erie,42.8762029,-78.75190599999999,ChIJB9KNH3QM04kRCAnDxi5uMtw,1
"HARRIS HILL NURSING FACILITY, LLC",18,2,182,Harris Hill Nursing Facility,"2699 Wehrle Dr, Williamsville, NY 14221, United States",Erie,42.9552517,-78.68846669999999,ChIJn1t8if1004kR4Jv8-I4lWKI,1
HUMBOLDT HOUSE REHABILITATION AND NURSING CENTER,4,0,40,Humboldt House,"64 Hager St, Buffalo, NY 14208, United States",Erie,42.921086,-78.848431,ChIJE72_w6IS04kRYZkxDBq5iK8,1
ROSA COPLON JEWISH HOME AND INFIRMARY,8,0,80,Rosa Coplon Living Center,"2700 N Forest Rd, Getzville, NY 14068, United States",Erie,43.0150462,-78.78799579999999,ChIJ0bROJXlx04kRhda1e_powws,1
"Williamsville Suburban Safire Nursing and Rehabilitation Center, LLC",0,5,05,Williamsville Suburban Safire Nursing and Rehabilitation Center,"193 S Union Rd, Buffalo, NY 14221, United States",Erie,42.9556761,-78.75513339999999,ChIJMQGC9GRz04kR5gKOieVYqJY,1
SENECA HEALTH CARE CENTER,12,0,120,Seneca Health Care Center,"2987 Seneca St, West Seneca, NY 14224, United States",Erie,42.8378652,-78.78251259999999,ChIJgTqmaI0O04kRbe8HSfrJpRw,1
ST CATHERINE LABOURE HEALTH CARE CENTER,2,0,20,St. Catherine Labouré Health Care Center,"2157 Main St, Buffalo, NY 14214, United States",Erie,42.9284109,-78.848085,ChIJ4wWBXaUS04kRb8LSW5zzGuY,1
FULTON CENTER FOR REHABILITATION AND HEALTHCARE,2,0,20,Fulton Center for Rehabilitation and Nursing,"847 County Hwy 122, Gloversville, NY 12078, United States",Fulton,43.0729713,-74.3692615,ChIJVz8xgkjy3okRXXrGQm-AerI,1
THE PINES AT CATSKILL CENTER FOR NURSING &,2,1,21,The Pines at Catskill Center for Nursing and Rehabilitation,"154 Jefferson Heights, Catskill, NY 12414, United States",Greene,42.2329208,-73.8766969,ChIJd28uorq93YkRrgVjSj3QhdU,1
ATRIUM CENTER FOR REHABILITATION AND NURSING,2,8,28,Atrium Center for Rehabilitation & Nursing,"611 E 103rd St, Brooklyn, NY 11236, United States",Kings,40.6495098,-73.8987547,ChIJcQvd3-VcwokRETtYOKa-V90,1
BEDFORD CENTER FOR NURSING AND REHABILITATION,7,6,76,Bedford Center for Nursing and Rehabilitation,"40 Heyward St, Brooklyn, NY 11249, United States",Kings,40.7002453,-73.9578361,ChIJrcb1RuhbwokRUJH_q1yuYN8,1
BENSONHURST CENTER FOR REHABILITATION AND HEALTHCARE,5,27,527,Bensonhurst Center for Rehabilitation & Healthcare,"1740 84th St, Brooklyn, NY 11214, United States",Kings,40.6091275,-74.0025349,ChIJCdX7jg1FwokRwJi3Bd3ZH8c,1
BORO PARK CENTER FOR REHABILITATION AND HEALTHCARE,8,21,821,Boro Park Center for Rehabilitation and Nursing,"4915 10th Ave, Brooklyn, NY 11219, United States",Kings,40.6387933,-73.9986526,ChIJM8z-MjNFwokRS8BC12hfzS8,1
BROOKLYN CENTER FOR REHABILITATION AND RESIDENTIAL,4,11,411,Brooklyn Center for Rehabilitation and Nursing,"1455 Coney Island Ave, Brooklyn, NY 11230, United States",Kings,40.6219116,-73.964405,ChIJ24NPYcZEwokRq8cuPgMlwHU,1
BROOKLYN GARDENS NURSING & REHABILITATION CENTER,1,7,17,Brooklyn Gardens Nursing and Rehabilitation Center,"835 Herkimer St, Brooklyn, NY 11233, United States",Kings,40.6788455,-73.9256401,ChIJhc8lFXBcwokRMpbp3aqcAug,1
BROOKLYN UNITED METHODIST CHURCH HOME,1,10,110,Brooklyn United Methodist Church Home,"1485 Dumont Ave, Brooklyn, NY 11208, United States",Kings,40.671445,-73.862473,ChIJhyqqVpZdwokRbyVneCyREIY,1
BROOKLYN-QUEENS NURSING HOME,3,5,35,Brooklyn Queens Nursing Home,"2749 Linden Blvd, Brooklyn, NY 11208, United States",Kings,40.6702957,-73.86196129999999,ChIJg7EKnJddwokRxiVOfy9FJjA,1
BUENA VIDA CONTINUING CARE & REHAB CENTER,0,4,04,Buena Vida Continuing Care,"48 Cedar St, Brooklyn, NY 11221, United States",Kings,40.696876,-73.9276671,ChIJtyZ8cQ9cwokRHpX2uMX7ZQ4,1
BUSHWICK CENTER FOR REHABILITATION AND HEALTH CARE,5,3,53,Centers Adult Day Care at Bushwick,"50 Sheffield Ave, Brooklyn, NY 11207, United States",Kings,40.6763461,-73.8984042,ChIJO-13B09cwokRspdb--rsIXc,1
"CATON PARK REHABILITATION AND NURSING CENTER, LLC",2,2,22,Caton Park Nursing Home,"1312 Caton Ave, Brooklyn, NY 11226, United States",Kings,40.649516,-73.96730099999999,ChIJF-GhcTxbwokR5VizNM344PM,1
"COBBLE HILL HEALTH CENTER, INC",4,50,450,Cobble Hill Health Center,"380 Henry St, Brooklyn, NY 11201, United States",Kings,40.6884247,-73.9975801,ChIJFZ34KEVawokRKnxwl1ZjV-M,1
CONCORD NURSING AND REHABILITATION CENTER,3,0,30,Concord Nursing Home,"300 Madison St, Brooklyn, NY 11216, United States",Kings,40.6850876,-73.94646089999999,ChIJR2OfDY5bwokRUFSv8fnxMhM,1
CROWN HEIGHTS CENTER FOR NURSING AND REHABILITATION,0,6,06,Crown Heights Center for Nursing and Rehabilitation,"810 St Marks Ave, Brooklyn, NY 11213, United States",Kings,40.6748697,-73.9461141,ChIJ7wI5b4NbwokRHM9gsty2S7U,1
DITMAS PARK CARE CENTER,1,9,19,Ditmas Park Rehab/Care Center,"2107 Ditmas Ave, Brooklyn, NY 11226, United States",Kings,40.6401748,-73.9575703,ChIJIbyyTEhbwokRfsflc_ILnwU,1
DOWNTOWN BROOKLYN NURSING & REHABILITATION CENTER,8,5,85,Downtown Brooklyn Nursing and Rehabilitation Center,"727 Classon Ave, Brooklyn, NY 11238, United States",Kings,40.6751491,-73.9597508,ChIJwbfrf59bwokR5zsY5uJw63w,1
DR SUSAN SMITH MCKINNEY NURSING AND REHABILITATION,4,18,418,Susan Smith McKinney Rehabilitation Center and Nurisng Home,"594 Albany Ave, Brooklyn, NY 11203, United States",Kings,40.6597394,-73.9401379,ChIJKRaihmBbwokRkMSxwRt0ssI,1
FOUR SEASONS NURSING AND REHABILITATION CENTER,0,1,01,Four Seasons Nursing & Rehabilitation Center,"1555 Rockaway Pkwy, Brooklyn, NY 11236, United States",Kings,40.6428583,-73.89921079999999,ChIJQa7NFd1cwokRVCgAinsik7M,1
HAMILTON PARK NURSING AND REHABILITATION CENTER,0,12,012,Hamilton Park Nursing and Rehabilitation Center,"691 92nd St, Brooklyn, NY 11228, United States",Kings,40.615404,-74.0230868,ChIJeT29fWRFwokRllFAhBXh6PI,1
HAYM SOLOMON HOME FOR THE AGED,3,43,343,Haym Salomon Home for Nursing & Rehabilitation,"2340 Cropsey Ave, Brooklyn, NY 11214, United States",Kings,40.5949023,-73.9964945,ChIJq5W5a6ZFwokRXZ-uooq4uIk,1
HOPKINS CENTER FOR REHABILITATION AND HEALTHCARE,2,15,215,Hopkins Center for Rehabilitation & Healthcare,"155 Dean St, Brooklyn, NY 11217, United States",Kings,40.68660089999999,-73.9876578,ChIJqZlHik1awokRdV0KFgkyzuE,1
KING DAVID CENTER FOR NURSING AND REHABILITATION,2,2,22,King David Center for Nursing and Rehabilitation,"2266 Cropsey Ave, Brooklyn, NY 11214, United States",Kings,40.5957728,-73.99723139999999,ChIJA0wgwYrzZUARiSRBKTGCimA,1
LINDEN CENTER FOR NURSING AND REHABILITATION,4,19,419,Linden Center for Nursing and Rehabilitation,"2237 Linden Blvd, Brooklyn, NY 11207, United States",Kings,40.6631965,-73.8806943,ChIJZ2d7paldwokRV-fAKRVHnWU,1
MENORAH HOME & HOSPITAL FOR AGED & INFIRM,5,45,545,Menorah Center for Rehabilitation and Nursing Care,"1516 Oriental Blvd, Brooklyn, NY 11235, United States",Kings,40.5758543,-73.93813949999999,ChIJZTrIcXZEwokRwqEBG78G2Kc,1
"NEW CARLTON REHAB AND NURSING CENTER, LLC",1,0,10,New Carlton Rehabilitation & Nursing Center,"405 Carlton Ave, Brooklyn, NY 11238, United States",Kings,40.6854947,-73.9710953,ChIJ3TXin7pbwokRct1tJWp1pMQ,1
NORWEGIAN CHRISTIAN HOME AND HEALTH CENTER,1,5,15,Norwegian Christian Home & Health Center,"1250 67th St, Brooklyn, NY 11219, United States",Kings,40.6252307,-74.0038446,ChIJp_HG2DhFwokRrUmT_32jgmo,1
"NY CONGREGATIONAL NURSING CENTER, INC",4,32,432,New York Congregational Nursing and Rehabilitation Center,"135 Linden Blvd, Brooklyn, NY 11226, United States",Kings,40.6531824,-73.9543051,ChIJUaKUGWpbwokRPtCNqSbC-Vk,1
OXFORD NURSING HOME,5,5,55,Oxford Nursing Home,"144 S Oxford St, Brooklyn, NY 11217, United States",Kings,40.684974,-73.9733077,ChIJvQqpJbBbwokRVy5fVNqTXcU,1
PALM GARDENS CENTER FOR NURSING AND REHABILITATION,2,0,20,Palm Gardens Center for Nursing & Rehabilitation,"615 Avenue C, Brooklyn, NY 11218, United States",Kings,40.6412042,-73.9726271,ChIJm49CPy5bwokRZsp5pgCx-nI,1
"RUTLAND NURSING HOME, INC.",13,33,1333,Rutland Nursing Home,"585 Schenectady Ave, Brooklyn, NY 11203, United States",Kings,40.6593277,-73.9337519,ChIJLb21zoJcwokRAmnofnIepXQ,1
SAINTS JOACHIM & ANNE NURSING AND REHABILITATION CENTER,0,27,027,Saints Joachim & Anne Nursing & Rehabilitation Center,"Surf Ave, Brooklyn, NY 11224, United States",Kings,40.5726647,-73.9933011,ChIJkXObNs9FwokRei1cnG59pks,1
SCHULMAN AND SCHACHNE INSTITUTE FOR NURSING AND,5,18,518,Schulman & Schachne Institute for Nursing and Rehabilitation,"555 Rockaway Pkwy, Brooklyn, NY 11212, United States",Kings,40.6555033,-73.9135897,ChIJ7wdcu5JcwokREBYRfPG-m2M,2
SEA CREST NURSING AND REHABILITATION CENTER,6,7,67,Sea Crest Nursing and Rehabilitation Center,"3035 W 24th St, Brooklyn, NY 11224, United States",Kings,40.5723068,-73.989841,ChIJIaIyys5FwokRo1loW2aVTJc,1
SEAGATE REHABILITATION AND NURSING CENTER,2,22,222,Seagate Rehabilitation and Nursing Center,"3015 W 29th St, Brooklyn, NY 11224, United States",Kings,40.5724047,-73.9942277,ChIJ94C99cVFwokRVkh1Y3Q-M9M,1
SHEEPSHEAD NURSING & REHABILITATION CENTER,4,4,44,Sheepshead Nursing and Rehabilitation Center,"2840 Knapp St, Brooklyn, NY 11235, United States",Kings,40.585311,-73.9317719,ChIJMQu7OYFDwokRB0JYYi8ZXOQ,1
SHORE VIEW NURSING & REHABILITATION CENTER,22,2,222,Shore View Nursing Home,"2865 Brighton 3rd St, Brooklyn, NY 11235, United States",Kings,40.5814167,-73.96549999999999,ChIJ_eqleUREwokR_e7KNqapaQc,1
SPRING CREEK REHABILITATION & NURSING CARE CENTER,2,11,211,Spring Creek Rehabilitation and Nursing Care Center,"660 Louisiana Ave, Brooklyn, NY 11239, United States",Kings,40.64603899999999,-73.885008,ChIJGeAGjh5dwokROFr575qmd6A,1
THE CHATEAU AT BROOKLYN REHABILITATION AND NURSING,1,4,14,The Chateau at Brooklyn Rehabilitation & Nursing Center,"3457 Nostrand Ave, Brooklyn, NY 11229, United States",Kings,40.5996822,-73.94108729999999,ChIJm1goQ4NEwokRNGkF6FxGLss,1
THE HERITAGE REHABILITATION AND HEALTH CARE CENTER,0,1,01,The Heritage Rehabilitation & Health Care Center,"5606 15th Ave, Brooklyn, NY 11219, United States",Kings,40.6284056,-73.9922313,ChIJq6q6hC9FwokRQGHo5nZdKAU,1
THE PHOENIX REHABILITATION AND NURSING CENTER,20,37,2037,The Phoenix Rehabilitation & Nursing Center,"140 St Edwards St, Brooklyn, NY 11201, United States",Kings,40.6925532,-73.9779065,ChIJsSRdLbRbwokRoVNdECbu_rQ,1
